Year,Month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2011,12,95.75,6.890282258064516,20.73,1.5650989947930214,0.1743567933938763,0,1,0.8,0.2150312876515035,3.896198164636136,0.4687923453343692,18.238315386087752,2.25,25.06833718370976,-126.74990276508468
2012,1,96.82,6.189502688172042,8.47,1.551930375894411,0.1520493109482152,0,0,0.8,0.1959633411319727,3.920850835350489,0.4711095846309244,18.240649938263758,2.25,25.078573699377134,-126.6771232682392
2012,2,96.74,4.479985632183908,8.28,3.443687920019449,0.1810703724907949,0,0,0.8,0.2153384437954177,3.9777377733181294,0.4725598732388392,18.24219799901908,2.25,25.157834089371462,-126.36825334702272
2012,3,96.66,10.365853494623655,4.82,10.15828045123509,0.249154899991338,0,1,0.8,0.2318042671782452,4.048029640323385,0.4749388540492078,18.24468130459343,2.25,25.24945406614427,-126.01756889723504
2012,4,96.58,9.628916666666663,9.29,5.1787562957354005,0.2945192920486226,0,1,1.6,0.3185933552110624,4.098245847091809,0.4779909568841148,18.2481066253314,2.25,25.392936784518383,-125.4950460762535
2012,5,96.5,16.508850806451612,7.87,14.947382594361011,0.3477889725121427,0,1,1.6,0.3218231685587892,4.100921829062607,0.4862314777156786,18.25700426831765,2.25,25.415980743654725,-125.40781829638392
2012,6,96.42,20.611062500000006,5.43,20.226988113589098,0.3222561993949702,0,1,1.6,0.2723293280001883,4.047981392463024,0.4933456005909872,18.264536325410248,2.25,25.328192646464448,-125.717816345581
2012,7,96.34,20.564764784946234,8.08,21.49160784651096,0.3131748824216251,0,0,1.6,0.2164113838346867,3.8824773822787706,0.4892650158399082,18.25696767672241,2.25,25.09512145867578,-126.54588936585208
2012,8,96.26,23.156451612903226,6.86,22.269074504046323,0.3381716494543633,0,0,0.8,0.1626378567321133,3.750655515552025,0.475867555524895,18.235884354102566,2.25,24.8750452819116,-127.34242381694926
2012,9,96.0,18.43663888888889,26.86600000000001,10.552417877096508,0.2763278949431083,0,0,0.8,0.1426636292823179,3.6748246205929824,0.464972885459332,18.21895074000283,2.25,24.75141187533746,-127.82431430774766
2012,10,96.1,13.69076948924731,13.938,3.738562507238408,0.2877380248922812,0,1,0.8,0.1896530380300267,3.743544467136483,0.4626180346517964,18.21504858986457,2.25,24.86086412968287,-127.44521209929682
2012,11,96.02,8.276090066425121,13.13,1.143836904263409,0.168818753865032,0,1,0.8,0.1980509337895357,3.789035541620524,0.4638898705293287,18.216074734417003,2.25,24.91705108035639,-127.26202549203649
2012,12,95.94,6.622586693548386,5.656,1.3300324100350012,0.2210787690695392,0,1,0.8,0.24016364211608,3.87415294226556,0.4653459581224322,18.217493659241864,2.25,25.04715620174593,-126.82751196977482
2013,1,96.75,6.887975806451611,63.22600000000001,1.9380292248238773,0.1581716238333451,0,0,0.8,0.2046630512051067,3.895111637358348,0.468877923505699,18.221034792390057,2.25,25.03968740445921,-126.8213542538512
2013,2,96.65,5.416090773809523,79.386,1.6082861472151082,0.2042213155594335,0,0,0.8,0.2214703520866563,3.956519466632531,0.4707285514004291,18.222924676041632,2.25,25.12164304616125,-126.50509288475844
2013,3,96.55,8.271781586021506,96.96,3.686920790260673,0.192817296025813,0,1,0.8,0.229395170489094,4.012627666410409,0.4731804512371415,18.225597712322674,2.25,25.19080100045932,-126.2494953199018
2013,4,96.45,10.543011805555556,56.964,7.221038795573187,0.2556777216916546,0,1,1.6,0.2846540345503913,4.040709657124752,0.4762224709865363,18.22889102568839,2.25,25.28047718835007,-125.92857154735138
2013,5,96.35,11.13557190860215,47.47,6.7791393674704254,0.300927457543235,0,1,1.6,0.3363473414033365,4.080450509807464,0.4818177620313646,18.235270887595927,2.25,25.38388650083809,-125.57218923342327
