Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2011,1,0.2572525836140254,4.101474852097236,0.48425749630976955,18.264340955814763,2.25,25.357325887835795,-125.67024838410123
2011,2,0.21888384701718158,4.125385216950841,0.4883340256116692,18.269294507997927,2.25,25.35189759757762,-125.66079842527967
2011,3,0.2413911924488682,4.1974564709907645,0.4905010290485428,18.272179394514367,2.25,25.451528087002544,-125.29127655596494
2011,4,0.2887542282563555,4.206475922608578,0.49372779406058137,18.27633172629455,2.25,25.515289671220067,-125.05449211350029
2011,5,0.2917721413945048,4.192108012527063,0.4993422667816408,18.283344736611976,2.25,25.516567157315187,-125.04936027356206
2011,6,0.24471278789114015,4.137308824026752,0.5042858233008795,18.28990072539087,2.25,25.42620816060964,-125.3721661892323
2011,7,0.2078159861147369,3.9749671255478716,0.4979539328295521,18.281873150281296,2.25,25.212610194773458,-126.11570769534575
2011,8,0.13797251069021832,3.8152121362642046,0.48410288791049083,18.26232644695113,2.25,24.949613981816043,-127.05656110827147
2011,9,0.1442315688005617,3.7197989873254342,0.46830084023453233,18.239813192534726,2.25,24.822144588895256,-127.54788816936313
2011,10,0.20955179365914667,3.8076475617373156,0.46534263592646624,18.235137551159855,2.25,24.967679542482784,-127.03875199044911
2011,11,0.19490287132808268,3.8392741701621373,0.46741871043493244,18.23693285360986,2.25,24.988528605535013,-126.99635164130096
2011,12,0.2150312876515035,3.8961981646361354,0.46879234533436925,18.238315386087752,2.25,25.06833718370976,-126.74990276508468
2012,1,0.1959633411319727,3.9208508353504885,0.4711095846309244,18.240649938263754,2.25,25.078573699377138,-126.67712326823921
2012,2,0.21533844379541772,3.9777377733181294,0.47255987323883925,18.24219799901908,2.25,25.157834089371466,-126.36825334702273
2012,3,0.2318042671782452,4.048029640323385,0.4749388540492078,18.24468130459343,2.25,25.24945406614427,-126.01756889723504
2012,4,0.31859335521106247,4.098245847091809,0.47799095688411486,18.2481066253314,2.25,25.392936784518383,-125.4950460762535
2012,5,0.32182316855878923,4.100921829062607,0.4862314777156786,18.25700426831765,2.25,25.415980743654725,-125.40781829638392
2012,6,0.2723293280001883,4.047981392463024,0.49334560059098725,18.264536325410248,2.25,25.328192646464448,-125.71781634558099
2012,7,0.2164113838346867,3.8824773822787706,0.4892650158399082,18.256967676722414,2.25,25.09512145867578,-126.54588936585209
2012,8,0.16263785673211334,3.750655515552025,0.47586755552489507,18.235884354102566,2.25,24.8750452819116,-127.34242381694926
2012,9,0.1426636292823179,3.6748246205929824,0.464972885459332,18.21895074000283,2.25,24.75141187533746,-127.82431430774766
2012,10,0.1896530380300267,3.743544467136483,0.4626180346517964,18.215048589864566,2.25,24.86086412968287,-127.44521209929682
2012,11,0.19805093378953575,3.7890355416205237,0.4638898705293287,18.216074734417003,2.25,24.91705108035639,-127.26202549203647
2012,12,0.24016364211608004,3.87415294226556,0.4653459581224322,18.217493659241864,2.25,25.047156201745935,-126.82751196977482
2013,1,0.2046630512051067,3.895111637358348,0.46887792350569907,18.221034792390057,2.25,25.03968740445921,-126.82135425385121
2013,2,0.22147035208665633,3.956519466632531,0.47072855140042913,18.222924676041632,2.25,25.121643046161246,-126.50509288475843
2013,3,0.22939517048909402,4.012627666410409,0.47318045123714153,18.225597712322674,2.25,25.190801000459317,-126.24949531990181
2013,4,0.2846540345503913,4.040709657124752,0.47622247098653636,18.22889102568839,2.25,25.28047718835007,-125.92857154735138
2013,5,0.3363473414033365,4.080450509807464,0.4818177620313646,18.235270887595927,2.25,25.38388650083809,-125.57218923342329
2013,6,0.29026255311506877,4.060881187949443,0.4909277778417888,18.24555012420252,2.25,25.337621643108818,-125.74917253923789
2013,7,0.23018756501204352,3.859640373223018,0.4856281729211823,18.234356501096663,2.25,25.059812612252905,-126.72777066950903
2013,8,0.166610740671468,3.7606116322865994,0.47646373248517654,18.219115420025357,2.25,24.872801525468603,-127.40800009880071
2013,9,0.14568137612652382,3.685773234769593,0.4657357161067801,18.202457620914252,2.25,24.749647947917147,-127.89015410940452
2013,10,0.19019959780612672,3.748631083554087,0.46273343167800224,18.19754996897376,2.25,24.849114082011976,-127.57484355377157
2013,11,0.19697663214205097,3.7932430714029666,0.4640285217135236,18.19858605907003,2.25,24.902834284328573,-127.41398523710068
2013,12,0.2637727403388299,3.9008417901719254,0.4651726664663729,18.19977098482075,2.25,25.07955818179788,-126.84028106930623
2014,1,0.2364705868126819,3.9447722510095455,0.46979751660147046,18.20460353965937,2.25,25.10564389408307,-126.69905139822579
2014,2,0.24189998159989226,4.012177021448073,0.4730896886814458,18.20811179254763,2.25,25.185278484277042,-126.38547133656131
2014,3,0.214812593103649,4.038989216379592,0.4765467995449629,18.2119776834281,2.25,25.192326292456304,-126.3531853796872
2014,4,0.2911169694984075,4.061122268669412,0.4785433021781316,18.213889210486588,2.25,25.29467175083254,-125.98392538211745
2014,5,0.3020070250041365,4.06803143278425,0.4849028623924932,18.22100655365454,2.25,25.325947873835418,-125.88093600783634
2014,6,0.27749767753272836,4.031290233631058,0.4909062073921646,18.227454787028183,2.25,25.277148905584134,-126.06624059538251
2014,7,0.19340786067185403,3.8573576005259214,0.4878829605404902,18.221082252484035,2.25,25.0097306742223,-127.02560295998123
2014,8,0.14727024700810226,3.746691836346938,0.4758797429063315,18.203411782443606,2.25,24.823253608704977,-127.71627701215816
2014,9,0.1368121706179913,3.646442634379543,0.46157600238852753,18.1815968042898,2.25,24.676427611675862,-128.2775157715156
