Year,Month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2011,1,108.07,5.303508064516127,23.15,1.349773176231612,0.1466135360433746,0,0,0.75,0.1979000934670761,4.361742572807437,0.4975921042291956,18.85834281631086,2.25,26.165577586814567,-22.37142763740718
2011,2,107.97,7.077819940476191,34.41,2.6387363486182087,0.1730422862922266,0,0,0.75,0.1828671186635955,4.382928755727194,0.4990734135973608,18.86014537472076,2.25,26.17501466270891,-22.309324898635907
2011,3,107.87,8.573790322580646,38.67,3.55859915848101,0.1180216310224638,0,1,0.75,0.1669389248752009,4.391327132728772,0.50005103866657,18.86147065525177,2.25,26.16978775152232,-22.322000765321537
2011,4,107.77,14.102173611111114,45.19,9.009340581424668,0.2733854951298752,0,1,1.5,0.2338430965460175,4.3873162496320175,0.4990868402788434,18.860303408989523,2.25,26.2305495954464,-22.07869217686187
2011,5,107.67,16.70707661290323,36.12,11.786551558573008,0.2432925182242684,0,1,1.5,0.2236854023741995,4.342002266669094,0.5014276077639364,18.862629294103808,2.25,26.17974457091104,-22.265553369009595
2011,6,107.57,18.494375,23.2,15.175452907847705,0.2535378156206019,0,1,1.5,0.2151046921679201,4.281425990470251,0.5020555033855583,18.86284901116909,2.25,26.11143519719282,-22.524101779249904
2011,7,107.61,19.744630376344087,18.98,18.43883626573353,0.2234574646419332,0,1,1.5,0.1878540569970195,4.196409119657384,0.5011308818240493,18.86106846728958,2.25,25.99646252576803,-22.95159107736655
2011,8,107.53,22.514240591397844,5.23,20.442375799943107,0.2410044700416088,0,1,0.75,0.139170039853668,4.130811934046862,0.4959804962981806,18.8535674373388,2.25,25.869529907537512,-23.43288004514565
2011,9,107.27,19.960715277777776,26.82,12.415765360762933,0.2817705004713,0,1,0.75,0.154839319670018,4.121094292026834,0.4890907727479706,18.84413351431689,2.25,25.859157898761715,-23.499148110802672
2011,10,107.37,14.963803763440865,10.69,8.327003772963014,0.2490987400427803,0,1,0.75,0.1668755496918432,4.1481162418115485,0.4868761023189315,18.84066563480836,2.25,25.892533528630683,-23.38285169168941
2011,11,107.07,10.5598125,48.96,1.1939813241474204,0.1523595178985143,0,1,0.75,0.1577984136981007,4.162400232513106,0.4869844379059744,18.8404023132921,2.25,25.89758539740928,-23.39120038196996
2011,12,106.97,6.890282258064516,20.73,1.5650989947930214,0.1168897734244038,0,1,0.75,0.1614510618426831,4.185891940023235,0.4872470418606611,18.84058241370423,2.25,25.92517245743081,-23.313945309558548
2012,1,108.06,6.189502688172042,8.47,1.551930375894411,0.1594766554109356,0,0,0.75,0.1647425751754944,4.212754557837517,0.4873641974937885,18.840438368634448,2.25,25.95529969914125,-23.16427877470806
2012,2,107.98,4.479985632183908,8.28,3.443687920019449,0.1680155579039822,0,0,0.75,0.1853831395301987,4.261801735766952,0.4878576601360733,18.840879957172685,2.25,26.025922492605908,-22.87441267764689
2012,3,107.9,10.365853494623655,4.82,10.15828045123509,0.1322596654155409,0,1,0.75,0.1609098350376132,4.264385944436129,0.4889707183398633,18.841857791039413,2.25,26.00612428885302,-22.93908856446048
2012,4,107.82,9.628916666666663,9.29,5.1787562957354005,0.2518586060345576,0,1,1.5,0.2464588818062938,4.298698531589414,0.4891169253434903,18.841806357621387,2.25,26.126080696360585,-22.470048584337988
2012,5,107.74,16.508850806451612,7.87,14.947382594361011,0.2617963638692353,0,1,1.5,0.2404695974565689,4.265916267061846,0.4926827541984102,18.844832494586985,2.25,26.093901113303808,-22.58293694838665
2012,6,107.66,20.611062500000006,5.43,20.226988113589098,0.2626002315267974,0,1,1.5,0.2128670194719149,4.186954523191165,0.4939064354096896,18.84442446437549,2.25,25.98815244244826,-22.97781523254916
2012,7,107.58,20.564764784946234,8.08,21.49160784651096,0.2873974605640397,0,1,1.5,0.2216167114980323,4.1218560014330015,0.4926015119365201,18.841194804865488,2.25,25.92726902973304,-23.20783844027463
