Year,Month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC,Tipo
2011,1,87.46000000000001,5.303508064516127,23.15,1.349773176231612,0.0646933537619007,0,0,0.67,0.1340136086354568,3.542722185850808,0.3884407723003036,14.573511650637032,2.25,20.8886882174236,-228.470784960024,Tradicional
2011,2,87.36,7.077819940476191,34.41,2.6387363486182087,0.1385031772902289,0,0,0.67,0.1291805591757574,3.562552194691055,0.3889054313159176,14.574284123038831,2.25,20.904922308221565,-228.36388178170475,Tradicional
2011,3,87.26,8.573790322580646,38.67,3.55859915848101,0.101681804415619,0,0,0.67,0.1016032742226498,3.543813805301549,0.3888259026821047,14.574392807576444,2.25,20.85863578978275,-228.56718980935744,Tradicional
2011,4,87.16,14.102173611111114,45.19,9.009340581424668,0.2421338639701332,0,1,1.44,0.1853879099905055,3.551563044288347,0.3867594434929164,14.572099338075622,2.25,20.94580973584739,-228.13683602877188,Tradicional
2011,5,87.06,16.70707661290323,36.12,11.786551558573008,0.1981375302857134,0,1,1.44,0.1785410636599286,3.517306170675978,0.389331923182955,14.574887711294972,2.25,20.910066868813832,-228.29920528572111,Tradicional
2011,6,86.96000000000001,18.494375,23.2,15.175452907847705,0.2187040619753604,0,1,1.44,0.1793421822197168,3.4757153390219924,0.3906909901660712,14.576261018168664,2.25,20.872009529576445,-228.4785082747025,Tradicional
2011,7,87.0,19.744630376344087,18.98,18.43883626573353,0.1887596950424297,0,1,1.44,0.1562375488812038,3.411495877900752,0.391418721657819,14.576858124211215,2.25,20.78601027265099,-228.87596535693032,Tradicional
2011,8,86.92,22.514240591397844,5.23,20.442375799943107,0.1956674145022797,0,1,0.67,0.1083445702544253,3.363376641918265,0.3887555460945791,14.573107628410783,2.25,20.683584386678053,-229.36005286198312,Tradicional
2011,9,86.66,19.960715277777776,26.82,12.415765360762933,0.204385954524012,0,1,0.67,0.1085310209406312,3.346752723731772,0.3837591326595237,14.566762049171542,2.25,20.655804926503468,-229.5155292561429,Tradicional
2011,10,86.76,14.963803763440865,10.69,8.327003772963014,0.1554059581267869,0,1,0.67,0.1044874761108609,3.34615832234357,0.3815063866820793,14.563850511278888,2.25,20.6460026964154,-229.5695179695466,Tradicional
2011,11,86.46000000000001,10.5598125,48.96,1.1939813241474204,0.0819667815702978,0,1,0.67,0.0908037623011635,3.336531967239924,0.380569951672665,14.562680298276002,2.25,20.62058597948976,-229.70931868254573,Tradicional
2011,12,86.36,6.890282258064516,20.73,1.5650989947930214,0.1318455977867231,0,0,0.67,0.1036869569921568,3.357831034910052,0.379078530835258,14.560824510425302,2.25,20.65142103316277,-229.5958080124252,Tradicional
2012,1,87.44,6.189502688172042,8.47,1.551930375894411,0.0603011044628339,0,0,0.67,0.0860996503751948,3.342385978368976,0.3784353631889031,14.559950590581314,2.25,20.61687158251439,-229.74253083101016,Tradicional
2012,2,87.36,4.479985632183908,8.28,3.443687920019449,0.0716927992392123,0,0,0.67,0.0880170888288489,3.3480565260883206,0.3775948183580711,14.558908893589113,2.25,20.622577326864352,-229.7026683025512,Tradicional
