Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2016,4,0.1593929661392866,3.1443775129955718,0.3521911545171269,14.445587234728379,2.25,20.351548868380362,-231.14696115595757
2016,5,0.19929390980929768,3.1525007440163013,0.35418984876454634,14.445697910338769,2.25,20.401682412928913,-230.90514277360197
2016,6,0.17549715866405277,3.1137136022298426,0.35803081381918417,14.446723549847583,2.25,20.34396512456066,-231.1830272228641
2016,7,0.15023053705578474,3.049693711746037,0.3589026123848816,14.443841867433283,2.25,20.252668728619987,-231.646942406065
2016,8,0.10578128027617334,3.0187545853840807,0.35718957758252406,14.437851418679282,2.25,20.16957686192206,-232.05938798271086
2016,9,0.12286884005344854,3.039449491760986,0.35314720048400233,14.42977476214615,2.25,20.195240294444588,-231.94809678816387
2016,10,0.12373700545423398,3.068643643113753,0.3527101641444713,14.42722775829394,2.25,20.222318571006397,-231.8340720318045
2016,11,0.11131266793819788,3.0766390939895976,0.3532422486289789,14.4269197066804,2.25,20.218113717237173,-231.87896044470557
2016,12,0.09257626945857597,3.0683901732164327,0.35323844377572755,14.425917128502126,2.25,20.190122014952863,-232.0292556596113
2017,1,0.0894316429590882,3.0726646434777565,0.35273109431534067,14.424547185937765,2.25,20.18937456668995,-232.01884353505253
2017,2,0.06621960142612737,3.0408227250729434,0.351148955985617,14.42114499994513,2.25,20.12933628242982,-232.30921489883073
2017,3,0.05229050877554296,2.990457173716748,0.3467019816349361,14.413300944360412,2.25,20.05275060848764,-232.68573553405213
2017,4,0.16885633437667974,3.0231096567048623,0.34306694625266104,14.407043751727002,2.25,20.192076689061206,-231.97052088370938
2017,5,0.1801410130072475,3.0077384607334063,0.3454303050262076,14.406089347032767,2.25,20.18939912579963,-231.99016988877375
2017,6,0.15367483752600708,2.9520768183316806,0.347383660411275,14.403288082615648,2.25,20.10642339888461,-232.41197782785926
2017,7,0.17534261414935737,2.9132432813097746,0.34653695727848377,14.39709485748209,2.25,20.082217710219705,-232.53270055406205
2017,8,0.10333053751452329,2.8790407574567913,0.34747311408726766,14.393108545524651,2.25,19.972952954583235,-233.10095821048503
2017,9,0.09333797572589486,2.8721829020693566,0.34467529466903507,14.386604695589211,2.25,19.946800868053497,-233.24276052483395
2017,10,0.1294499994825308,2.9290795510643206,0.3420042690065857,14.380547075867163,2.25,20.0310808954206,-232.86922560782887
2017,11,0.11122953425599359,2.9332466698170716,0.3428534178913188,14.380302555683361,2.25,20.017632177647744,-232.9468310018742
2017,12,0.09577190797598774,2.9317396131288267,0.34297091992089224,14.37915088962171,2.25,19.999633330647416,-233.0582963326583
2018,1,0.09741725821920189,2.9465257530482676,0.34225311060053676,14.376755102234895,2.25,20.012951224102903,-232.9650231007304
2018,2,0.09907022794187857,2.9618017644311134,0.34205649872276217,14.375489546824147,2.25,20.028418037919902,-232.8784318817617
2018,3,0.09274208436587907,2.9650715990353333,0.3412004246777369,14.372459987210892,2.25,20.02147409528984,-232.90597600165754
2018,4,0.18875020077792737,3.0026271871456065,0.34011065686804653,14.369162235656999,2.25,20.15065028044858,-232.25314736652157
