Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
2011,1,0.19790009346707615,4.361742572807437,0.4975921042291956,18.85834281631086,2.25,26.165577586814567,-22.37142763740718
2011,2,0.1828671186635955,4.382928755727194,0.49907341359736085,18.860145374720762,2.25,26.17501466270891,-22.309324898635907
2011,3,0.16693892487520093,4.3913271327287715,0.50005103866657,18.861470655251775,2.25,26.169787751522318,-22.322000765321537
2011,4,0.23384309654601756,4.3873162496320175,0.4990868402788434,18.860303408989523,2.25,26.2305495954464,-22.07869217686187
2011,5,0.22368540237419957,4.342002266669094,0.5014276077639364,18.862629294103808,2.25,26.179744570911037,-22.265553369009595
2011,6,0.21510469216792016,4.281425990470251,0.5020555033855583,18.86284901116909,2.25,26.11143519719282,-22.524101779249904
2011,7,0.18785405699701957,4.196409119657384,0.5011308818240493,18.86106846728958,2.25,25.99646252576803,-22.95159107736655
2011,8,0.139170039853668,4.130811934046862,0.49598049629818064,18.8535674373388,2.25,25.869529907537512,-23.432880045145655
2011,9,0.15483931967001804,4.121094292026834,0.4890907727479706,18.844133514316894,2.25,25.859157898761715,-23.499148110802672
2011,10,0.16687554969184326,4.1481162418115485,0.4868761023189315,18.84066563480836,2.25,25.892533528630683,-23.38285169168941
2011,11,0.15779841369810077,4.162400232513106,0.48698443790597445,18.8404023132921,2.25,25.89758539740928,-23.391200381969956
2011,12,0.16145106184268312,4.185891940023235,0.48724704186066115,18.84058241370423,2.25,25.92517245743081,-23.313945309558548
2012,1,0.16474257517549445,4.212754557837517,0.4873641974937885,18.840438368634448,2.25,25.95529969914125,-23.16427877470806
2012,2,0.1853831395301987,4.261801735766952,0.4878576601360733,18.840879957172685,2.25,26.025922492605908,-22.874412677646895
2012,3,0.16090983503761325,4.264385944436129,0.48897071833986333,18.841857791039413,2.25,26.00612428885302,-22.939088564460477
2012,4,0.24645888180629388,4.298698531589414,0.4891169253434903,18.841806357621387,2.25,26.126080696360585,-22.470048584337988
2012,5,0.24046959745656893,4.265916267061846,0.4926827541984102,18.844832494586985,2.25,26.093901113303808,-22.582936948386646
2012,6,0.2128670194719149,4.186954523191165,0.49390643540968965,18.84442446437549,2.25,25.98815244244826,-22.97781523254916
2012,7,0.22161671149803233,4.1218560014330015,0.4926015119365201,18.841194804865488,2.25,25.92726902973304,-23.20783844027463
2012,8,0.15784937342020025,4.072204328986619,0.49017592795829174,18.83570619381082,2.25,25.805935824175933,-23.673045100825018
2012,9,0.17322896942254026,4.092307009190029,0.4859396893552921,18.829238431325255,2.25,25.830714099293118,-23.610421626801383
2012,10,0.18168436563827806,4.133060196565831,0.4854263775958931,18.827800155485996,2.25,25.877971095285996,-23.44381734563017
2012,11,0.17234037523743334,4.152389705575241,0.4863939828882918,18.828693016942957,2.25,25.889817080643923,-23.41386359367792
2012,12,0.16828574777468103,4.170804990825674,0.4870842417344254,18.829379507130852,2.25,25.905554487465633,-23.37146694164527
2013,1,0.15726283291867416,4.182915937831968,0.48730985514247155,18.829288599920755,2.25,25.90677722581387,-23.337850397051497
2013,2,0.1744420111438435,4.225699299315099,0.48740900132845383,18.829208128019072,2.25,25.96675843980647,-23.091014032129987
2013,3,0.19532990490608476,4.280743008437311,0.48819237150683226,18.829949299022214,2.25,26.044214583872442,-22.78708796348805
2013,4,0.24581545347964628,4.297398226247421,0.48974862969342164,18.83145888874337,2.25,26.11442119816386,-22.517987227324898
2013,5,0.30858651689532657,4.335269734289966,0.4935894800743498,18.835666543174202,2.25,26.223112274433845,-22.1145979652847
2013,6,0.24020397904493412,4.287918428612355,0.5010910026884489,18.84371649996092,2.25,26.12292991030666,-22.497969357994528
2013,7,0.1665611359563697,4.154557500295073,0.5001803928886812,18.841059863773342,2.25,25.912358892913467,-23.28786070201061
2013,8,0.1485743552496189,4.117895717241834,0.494146610423347,18.832797752993258,2.25,25.84341443590806,-23.553772002892327
2013,9,0.1445996394090096,4.1008947092516665,0.4890465202844729,18.82566831320719,2.25,25.810209182152338,-23.70748745974072
2013,10,0.1478720198264403,4.107173178255966,0.48598048889866396,18.82117671603154,2.25,25.812202403012613,-23.729125001590077
2013,11,0.13933395108542695,4.1121848214570145,0.4856530708385962,18.820548873059078,2.25,25.807720716440116,-23.76726323930889
2013,12,0.15685577912696214,4.145318641273911,0.48559516929604635,18.82041712752399,2.25,25.85818671722091,-23.603632534875963
2014,1,0.1429129508915287,4.14724868840509,0.4853169635136746,18.819675747736373,2.25,25.845154350546665,-23.62462588443004
2014,2,0.12893335806637923,4.141324646215313,0.4845568388150059,18.81840006132505,2.25,25.823214904421746,-23.69578253272131
